,CHIEF,DISEASE,ATTRIBUTE_TH,ATTRIBUTE_EN,HAVE_SYMPTOM,SCORE,ALARM
0,headache,subarachnoid_hemorrhage,ปวดรุนแรงมากเฉียบพลัน ไม่เคยเป็นมาก่อน,severe_pain,1,5,alarm
1,headache,subarachnoid_hemorrhage,ตื่นปวดกลางคืน,night_pain,1,3,alarm
2,headache,subarachnoid_hemorrhage,เกิดขึ้นในหลักวินาที,occurred_in_seconds,1,5,
3,headache,subarachnoid_hemorrhage,ไม่ตรงกับข้อใด,does_not_match_any,1,0.5,
4,headache,subarachnoid_hemorrhage,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,-2,
5,headache,subarachnoid_hemorrhage,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-2,
6,headache,ht_emergency,ซึม สับสน,confuse,1,2,alarm
7,headache,ht_emergency,เห็นภาพซ้อน,diplopia,1,1,alarm
8,headache,ht_emergency,แขนขาอ่อนแรงครึ่งซีก,hemiparesis,1,2,alarm
9,headache,ht_emergency,เกิดขึ้นในเวลา 5-10 นาที,occurred_at_5_10_minutes,1,1,
10,headache,ht_emergency,ปวดนาน 15 นาที - 3 ชั่วโมง,pain_for_15_minutes_3_hours,1,1,
11,headache,ht_emergency,ไม่ตรงกับข้อใด,does_not_match_any,1,0.5,
12,headache,ht_emergency,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,-2,
13,headache,ht_emergency,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-2,
14,headache,ht_emergency,อายุ_>50,age_>_50,1,4,
26,headache,encephalitis,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,-2,
27,headache,encephalitis,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-2,
28,headache,encephalitis,กลัวแสง,fear_of_light,1,3,
29,headache,encephalitis,HIV,hiv,1,2,
30,headache,meningitis,ซึม สับสน,confuse,1,4,alarm
31,headache,meningitis,ชัก,seizure,1,3,alarm
32,headache,meningitis,ไข้,fever,1,5,alarm
33,headache,meningitis,คอแข็ง,stiff_neck,1,5,alarm
34,headache,meningitis,ปวดนาน 15 นาที - 3 ชั่วโมง,pain_for_15_minutes_3_hours,1,0.5,
35,headache,meningitis,ไม่ตรงกับข้อใด,does_not_match_any,1,0.5,
36,headache,meningitis,ปวดครั้งใหม่,new_pain,1,1,
37,headache,meningitis,ไม่_ปวดทุก 1-2 ครั้งต่อเดือน,pain_every_1_2_times_per_month,0,1,
38,headache,meningitis,ไม่_ปวดทุก 1-2 ครั้งต่อสัปดาห์,pain_every_1_2_times_a_week,0,1,
39,headache,meningitis,ไม่_ปวดทุก 1-4 ครั้งต่อวัน,pain_every_1_4_times_per_day,0,1,
40,headache,meningitis,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,-2,
41,headache,meningitis,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-2,
42,headache,meningitis,กลัวแสง,fear_of_light,1,5,
43,headache,meningitis,HIV,hiv,1,4,
44,headache,brain_tumour,บ้านหมุน ทรงตัวไม่ได้,vertigo,1,5,alarm
45,headache,brain_tumour,ซึม สับสน,confuse,1,3,alarm
46,headache,brain_tumour,ชัก,seizure,1,4,alarm
47,headache,brain_tumour,น้ำหนักลด,weight_loss,1,5,alarm
48,headache,brain_tumour,ปวดมากขึ้นเรื่อยๆเป็นสัปดาห์,progressive_pain_within_weeks,1,5,alarm
49,headache,brain_tumour,เห็นภาพซ้อน,diplopia,1,4,alarm
50,headache,brain_tumour,แขนขาอ่อนแรงครึ่งซีก,hemiparesis,1,5,alarm
51,headache,brain_tumour,ตื่นปวดกลางคืน,night_pain,1,4,alarm
52,headache,brain_tumour,ปวดนาน 30 นาที - 1 สัปดาห์,pain_for_30_minutes_1_week,1,2,
53,headache,brain_tumour,ปวดนาน 15 นาที - 3 ชั่วโมง,pain_for_15_minutes_3_hours,1,-1,
54,headache,brain_tumour,ไม่ตรงกับข้อใด,does_not_match_any,1,0.5,
55,headache,brain_tumour,ปวดมากเวลาตื่นนอน,very_pain_when_waking_up,1,3,
56,headache,brain_tumour,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,-2,
57,cough_chronic_greater_3_weeks,lung_abscess,HIV,hiv,1,2,alarm
58,headache,brain_tumour,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-2,
59,headache,brain_tumour,ปวดข้างเดิมตลอด,pain_at_the_same_side,1,4,
60,headache,brain_tumour,คลื่นไส้,squeamish,1,4,
61,headache,brain_tumour,อายุ_>50,age_>_50,1,4,
